[0827/174607.099:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.099:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.100:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.100:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.101:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.725:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.727:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.727:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.728:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.728:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.729:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.729:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174607.730:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174934.292:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174934.293:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174934.293:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174934.294:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174934.295:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174934.295:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174934.295:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/174934.296:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175021.533:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175021.535:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175021.535:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175021.536:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175021.536:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175021.537:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175021.537:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175021.538:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.215:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.216:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
